year,month,starthour,season,weekday,trips
2019,Mar,18,Spring,Monday,20852
2019,Mar,18,Spring,Saturday,13875
2019,Mar,18,Spring,Sunday,12005
2019,Mar,18,Spring,Thursday,16729
2019,Mar,18,Spring,Tuesday,21084
2019,Mar,18,Spring,Wednesday,19811
2019,Mar,19,Spring,Friday,14393
2019,Mar,19,Spring,Monday,12801
2019,Mar,19,Spring,Saturday,10371
2019,Mar,19,Spring,Sunday,8625
2019,Mar,19,Spring,Thursday,11598
2019,Mar,19,Spring,Tuesday,13287
2019,Mar,19,Spring,Wednesday,12373
2019,Mar,20,Spring,Friday,9237
2019,Mar,20,Spring,Monday,8054
2019,Mar,20,Spring,Saturday,7133
2019,Mar,20,Spring,Sunday,6082
2019,Mar,20,Spring,Thursday,7761
2019,Mar,20,Spring,Tuesday,8478
2019,Mar,20,Spring,Wednesday,8073
2019,Mar,21,Spring,Friday,5142
2019,Mar,21,Spring,Monday,5471
2019,Mar,21,Spring,Saturday,5370
2019,Mar,21,Spring,Sunday,4324
2019,Mar,21,Spring,Thursday,5055
2019,Mar,21,Spring,Tuesday,5731
2019,Mar,21,Spring,Wednesday,5518
2019,Mar,22,Spring,Friday,4290
2019,Mar,22,Spring,Monday,3597
2019,Mar,22,Spring,Saturday,4344
2019,Mar,22,Spring,Sunday,2935
2019,Mar,22,Spring,Thursday,3677
2019,Mar,22,Spring,Tuesday,3884
2019,Mar,22,Spring,Wednesday,3917
2019,Mar,23,Spring,Friday,3675
2019,Mar,23,Spring,Monday,1994
2019,Mar,23,Spring,Saturday,3660
2019,Mar,23,Spring,Sunday,1853
2019,Mar,23,Spring,Thursday,2201
2019,Mar,23,Spring,Tuesday,2070
2019,Mar,23,Spring,Wednesday,2303
2019,Apr,00,Spring,Friday,1847
2019,Apr,00,Spring,Monday,1386
2019,Apr,00,Spring,Saturday,1618
2019,Apr,00,Spring,Sunday,3369
2019,Apr,00,Spring,Thursday,1611
2019,Apr,00,Spring,Tuesday,1412
2019,Apr,00,Spring,Wednesday,1114
2019,Apr,01,Spring,Friday,1032
2019,Apr,01,Spring,Monday,644
2019,Apr,01,Spring,Saturday,1012
2019,Apr,01,Spring,Sunday,2232
2019,Apr,01,Spring,Thursday,716
2019,Apr,01,Spring,Tuesday,618
2019,Apr,01,Spring,Wednesday,554
2019,Apr,02,Spring,Friday,637
2019,Apr,02,Spring,Monday,302
2019,Apr,02,Spring,Saturday,718
2019,Apr,02,Spring,Sunday,1390
2019,Apr,02,Spring,Thursday,403
2019,Apr,02,Spring,Tuesday,378
2019,Apr,02,Spring,Wednesday,343
2019,Apr,03,Spring,Friday,352
2019,Apr,03,Spring,Monday,198
2019,Apr,03,Spring,Saturday,523
2019,Apr,03,Spring,Sunday,885
2019,Apr,03,Spring,Thursday,243
2019,Apr,03,Spring,Tuesday,226
2019,Apr,03,Spring,Wednesday,222
2019,Apr,04,Spring,Friday,396
2019,Apr,04,Spring,Monday,395
2019,Apr,04,Spring,Saturday,379
2019,Apr,04,Spring,Sunday,516
2019,Apr,04,Spring,Thursday,463
2019,Apr,04,Spring,Tuesday,490
2019,Apr,04,Spring,Wednesday,449
2019,Apr,05,Spring,Friday,1346
2019,Apr,05,Spring,Monday,1806
2019,Apr,05,Spring,Saturday,345
2019,Apr,05,Spring,Sunday,434
2019,Apr,05,Spring,Thursday,1947
2019,Apr,05,Spring,Tuesday,2546
2019,Apr,05,Spring,Wednesday,2010
2019,Apr,06,Spring,Friday,4844
2019,Apr,06,Spring,Monday,6593
2019,Apr,06,Spring,Saturday,973
2019,Apr,06,Spring,Sunday,1123
2019,Apr,06,Spring,Thursday,6731
2019,Apr,06,Spring,Tuesday,8584
2019,Apr,06,Spring,Wednesday,7237
2019,Apr,07,Spring,Friday,10308
2019,Apr,07,Spring,Monday,15147
2019,Apr,07,Spring,Saturday,2348
2019,Apr,07,Spring,Sunday,2591
2019,Apr,07,Spring,Thursday,14772
2019,Apr,07,Spring,Tuesday,18230
2019,Apr,07,Spring,Wednesday,15714
2019,Apr,08,Spring,Friday,20258
2019,Apr,08,Spring,Monday,28440
2019,Apr,08,Spring,Saturday,4874
2019,Apr,08,Spring,Sunday,5213
2019,Apr,08,Spring,Thursday,25207
2019,Apr,08,Spring,Tuesday,31379
2019,Apr,08,Spring,Wednesday,27208
2019,Apr,09,Spring,Friday,17365
2019,Apr,09,Spring,Monday,20895
2019,Apr,09,Spring,Saturday,8446
2019,Apr,09,Spring,Sunday,8849
2019,Apr,09,Spring,Thursday,18265
2019,Apr,09,Spring,Tuesday,22322
2019,Apr,09,Spring,Wednesday,19164
2019,Apr,10,Spring,Friday,10613
2019,Apr,10,Spring,Monday,11521
2019,Apr,10,Spring,Saturday,11579
2019,Apr,10,Spring,Sunday,13281
2019,Apr,10,Spring,Thursday,10597
2019,Apr,10,Spring,Tuesday,12607
2019,Apr,10,Spring,Wednesday,10921
2019,Apr,11,Spring,Friday,9581
2019,Apr,11,Spring,Monday,9315
2019,Apr,11,Spring,Saturday,15295
2019,Apr,11,Spring,Sunday,15485
2019,Apr,11,Spring,Thursday,10132
2019,Apr,11,Spring,Tuesday,12292
2019,Apr,11,Spring,Wednesday,10979
2019,Apr,12,Spring,Friday,9508
2019,Apr,12,Spring,Monday,12225
2019,Apr,12,Spring,Saturday,18844
2019,Apr,12,Spring,Sunday,18037
2019,Apr,12,Spring,Thursday,11589
2019,Apr,12,Spring,Tuesday,14236
2019,Apr,12,Spring,Wednesday,12807
2019,Apr,13,Spring,Friday,10303
2019,Apr,13,Spring,Monday,12078
2019,Apr,13,Spring,Saturday,20614
2019,Apr,13,Spring,Sunday,19523
2019,Apr,13,Spring,Thursday,12080
2019,Apr,13,Spring,Tuesday,15013
2019,Apr,13,Spring,Wednesday,13496
2019,Apr,14,Spring,Friday,11422
2019,Apr,14,Spring,Monday,12441
2019,Apr,14,Spring,Saturday,21591
2019,Apr,14,Spring,Sunday,19822
2019,Apr,14,Spring,Thursday,12770
2019,Apr,14,Spring,Tuesday,15681
2019,Apr,14,Spring,Wednesday,14075
2019,Apr,15,Spring,Friday,12727
2019,Apr,15,Spring,Monday,13585
2019,Apr,15,Spring,Saturday,20769
2019,Apr,15,Spring,Sunday,20243
2019,Apr,15,Spring,Thursday,13993
2019,Apr,15,Spring,Tuesday,17343
2019,Apr,15,Spring,Wednesday,15273
2019,Apr,16,Spring,Friday,15054
2019,Apr,16,Spring,Monday,16991
2019,Apr,16,Spring,Saturday,21117
2019,Apr,16,Spring,Sunday,19223
2019,Apr,16,Spring,Thursday,15912
2019,Apr,16,Spring,Tuesday,20798
2019,Apr,16,Spring,Wednesday,18911
2019,Apr,17,Spring,Friday,19023
2019,Apr,17,Spring,Monday,29552
2019,Apr,17,Spring,Saturday,20992
2019,Apr,17,Spring,Sunday,16448
2019,Apr,17,Spring,Thursday,24963
2019,Apr,17,Spring,Tuesday,35422
2019,Apr,17,Spring,Wednesday,31269
2019,Apr,18,Spring,Friday,16157
2019,Apr,18,Spring,Monday,29632
2019,Apr,18,Spring,Saturday,18415
2019,Apr,18,Spring,Sunday,15341
2019,Apr,18,Spring,Thursday,24944
2019,Apr,18,Spring,Tuesday,34019
2019,Apr,18,Spring,Wednesday,30535
2019,Apr,19,Spring,Friday,8887
2019,Apr,19,Spring,Monday,19534
2019,Apr,19,Spring,Saturday,14399
2019,Apr,19,Spring,Sunday,11815
2019,Apr,19,Spring,Thursday,15915
2019,Apr,19,Spring,Tuesday,21448
2019,Apr,19,Spring,Wednesday,19498
2019,Apr,20,Spring,Friday,4553
2019,Apr,20,Spring,Monday,12707
2019,Apr,20,Spring,Saturday,9081
2019,Apr,20,Spring,Sunday,8369
2019,Apr,20,Spring,Thursday,10680
2019,Apr,20,Spring,Tuesday,13814
2019,Apr,20,Spring,Wednesday,12086
2019,Apr,21,Spring,Friday,3043
2019,Apr,21,Spring,Monday,8440
2019,Apr,21,Spring,Saturday,6768
2019,Apr,21,Spring,Sunday,5143
2019,Apr,21,Spring,Thursday,7541
2019,Apr,21,Spring,Tuesday,9582
2019,Apr,21,Spring,Wednesday,8338
2019,Apr,22,Spring,Friday,2806
2019,Apr,22,Spring,Monday,5521
2019,Apr,22,Spring,Saturday,5773
2019,Apr,22,Spring,Sunday,4252
2019,Apr,22,Spring,Thursday,5957
2019,Apr,22,Spring,Tuesday,6585
2019,Apr,22,Spring,Wednesday,6222
2019,Apr,23,Spring,Friday,2443
2019,Apr,23,Spring,Monday,3095
2019,Apr,23,Spring,Saturday,4766
